token	corpus size	all contexts size	frequency	co-frequency	specificity
indiens	193367	11995	1	1	1.21
s'adressoit	193367	11995	1	1	1.21
natchez	193367	11995	1	1	1.21
gén	193367	11995	1	1	1.21
incréé	193367	11995	1	1	1.21
pénètres	193367	11995	1	1	1.21
misères	193367	11995	1	1	1.21
martyrs	193367	11995	1	1	1.21
régnez	193367	11995	1	1	1.21
d'intermédiaire	193367	11995	1	1	1.21
angéliques	193367	11995	1	1	1.21
bienfaisants	193367	11995	1	1	1.21
retira	193367	11995	1	1	1.21
l'anneau	193367	11995	1	1	1.21
tentateur	193367	11995	1	1	1.21
évêque	193367	11995	1	1	1.21
reconnut	193367	11995	1	1	1.21
lélia	193367	11995	1	1	1.21
524	193367	11995	1	1	1.21
n'avons-nous	193367	11995	1	1	1.21
exorcistes	193367	11995	1	1	1.21
chassent	193367	11995	1	1	1.21
possédés	193367	11995	1	1	1.21
dupuis	193367	11995	1	1	1.21
orig	193367	11995	1	1	1.21
l'abîme	193367	11995	1	1	1.21
forçait	193367	11995	1	1	1.21
l'essaim	193367	11995	1	1	1.21
hideux	193367	11995	1	1	1.21
ténébreux	193367	11995	1	1	1.21
redoutée	193367	11995	1	1	1.21
tutélaire	193367	11995	1	1	1.21
prié	193367	11995	1	1	1.21
vénération	193367	11995	1	1	1.21
paganisme	193367	11995	1	1	1.21
mythologies	193367	11995	1	1	1.21
magiques	193367	11995	1	1	1.21
cellini	193367	11995	1	1	1.21
émule	193367	11995	1	1	1.21
j'entre	193367	11995	1	1	1.21
flamel	193367	11995	1	1	1.21
raimond	193367	11995	1	1	1.21
lulle	193367	11995	1	1	1.21
pommier	193367	11995	1	1	1.21
océanides	193367	11995	1	1	1.21
prétendait	193367	11995	1	1	1.21
igné	193367	11995	1	1	1.21
adeptes	193367	11995	1	1	1.21
craindre	193367	11995	1	1	1.21
interroger	193367	11995	1	1	1.21
maison-là	193367	11995	1	1	1.21
masure	193367	11995	1	1	1.21
visitée	193367	11995	1	1	1.21
d'attente	193367	11995	1	1	1.21
mouillard	193367	11995	1	1	1.21
demanda	193367	11995	1	1	1.21
convenait	193367	11995	1	1	1.21
lénine	193367	11995	1	1	1.21
taxi	193367	11995	1	1	1.21
sarmates	193367	11995	1	1	1.21
queneau	193367	11995	1	1	1.21
tables	193367	11995	1	1	1.21
tournantes	193367	11995	1	1	1.21
unifier	193367	11995	1	1	1.21
systématiser	193367	11995	1	1	1.21
tranquilles	193367	11995	1	1	1.21
affectueux	193367	11995	1	1	1.21
183	193367	11995	1	1	1.21
aimable	193367	11995	1	1	1.21
paisible	193367	11995	1	1	1.21
tolérant	193367	11995	1	1	1.21
compréhensif	193367	11995	1	1	1.21
primesautier	193367	11995	1	1	1.21
enjoué	193367	11995	1	1	1.21
timide	193367	11995	1	1	1.21
timoré	193367	11995	1	1	1.21
aventurier	193367	11995	1	1	1.21
désenchanté	193367	11995	1	1	1.21
aigri	193367	11995	1	1	1.21
ombrageux	193367	11995	1	1	1.21
belliqueux	193367	11995	1	1	1.21
impatient	193367	11995	1	1	1.21
tourmenté	193367	11995	1	1	1.21
abattu	193367	11995	1	1	1.21
s'assombrir	193367	11995	1	1	1.21
alarmer	193367	11995	1	1	1.21
attrister	193367	11995	1	1	1.21
s'agite	193367	11995	1	1	1.21
dérangement	193367	11995	1	1	1.21
égarement	193367	11995	1	1	1.21
reposé	193367	11995	1	1	1.21
aliéné	193367	11995	1	1	1.21
bat	193367	11995	1	1	1.21
chavire	193367	11995	1	1	1.21
pitié	193367	11995	1	1	1.21
337	193367	11995	1	1	1.21
lamennais	193367	11995	1	1	1.21
dirai-je	193367	11995	1	1	1.21
respire	193367	11995	1	1	1.21
j'osai	193367	11995	1	1	1.21
restif	193367	11995	1	1	1.21
cravates	193367	11995	1	1	1.21
vert-pomme	193367	11995	1	1	1.21
d'arcangeli	193367	11995	1	1	1.21
puait	193367	11995	1	1	1.21
commençaient	193367	11995	1	1	1.21
bassesse	193367	11995	1	1	1.21
trempé	193367	11995	1	1	1.21
frivole	193367	11995	1	1	1.21
retors	193367	11995	1	1	1.21
dégradé	193367	11995	1	1	1.21
avili	193367	11995	1	1	1.21
écrivit	193367	11995	1	1	1.21
satirique	193367	11995	1	1	1.21
walpole	193367	11995	1	1	1.21
ministres	193367	11995	1	1	1.21
déguisés	193367	11995	1	1	1.21
vagabonds	193367	11995	1	1	1.21
morand	193367	11995	1	1	1.21
t'expliquer	193367	11995	1	1	1.21
212	193367	11995	1	1	1.21
épaves	193367	11995	1	1	1.21
gravée	193367	11995	1	1	1.21
ineffaçables	193367	11995	1	1	1.21
extravagances	193367	11995	1	1	1.21
951	193367	11995	1	1	1.21
voyageait	193367	11995	1	1	1.21
fougères	193367	11995	1	1	1.21
l'île	193367	11995	1	1	1.21
infatigable	193367	11995	1	1	1.21
lourd	193367	11995	1	1	1.21
sclérosé	193367	11995	1	1	1.21
éclectique	193367	11995	1	1	1.21
obtus	193367	11995	1	1	1.21
mûr	193367	11995	1	1	1.21
pondéré	193367	11995	1	1	1.21
raisonneur	193367	11995	1	1	1.21
tortueux	193367	11995	1	1	1.21
brouillon	193367	11995	1	1	1.21
fumeux	193367	11995	1	1	1.21
raffiné	193367	11995	1	1	1.21
inculte	193367	11995	1	1	1.21
illettré	193367	11995	1	1	1.21
accoutumé	193367	11995	1	1	1.21
reposer	193367	11995	1	1	1.21
rouler	193367	11995	1	1	1.21
repousser	193367	11995	1	1	1.21
graver	193367	11995	1	1	1.21
épuiser	193367	11995	1	1	1.21
continuellement	193367	11995	1	1	1.21
Éveiller	193367	11995	1	1	1.21
disperse	193367	11995	1	1	1.21
mûrit	193367	11995	1	1	1.21
s'échauffe	193367	11995	1	1	1.21
conserve	193367	11995	1	1	1.21
vagues	193367	11995	1	1	1.21
éminent	193367	11995	1	1	1.21
ruffey	193367	11995	1	1	1.21
imaginatif	193367	11995	1	1	1.21
envergure	193367	11995	1	1	1.21
venez	193367	11995	1	1	1.21
m'écrire	193367	11995	1	1	1.21
paye	193367	11995	1	1	1.21
506	193367	11995	1	1	1.21
trevor	193367	11995	1	1	1.21
coquette	193367	11995	1	1	1.21
maniéré	193367	11995	1	1	1.21
coquetterie	193367	11995	1	1	1.21
cahier	193367	11995	1	1	1.21
langeais	193367	11995	1	1	1.21
323	193367	11995	1	1	1.21
rabaisser	193367	11995	1	1	1.21
admirait	193367	11995	1	1	1.21
qu'aucune	193367	11995	1	1	1.21
mauriac	193367	11995	1	1	1.21
desqueyroux	193367	11995	1	1	1.21
573	193367	11995	1	1	1.21
rabais	193367	11995	1	1	1.21
tombé	193367	11995	1	1	1.21
éloges	193367	11995	1	1	1.21
444	193367	11995	1	1	1.21
perspicacité	193367	11995	1	1	1.21
prudent	193367	11995	1	1	1.21
saint-sulpice	193367	11995	1	1	1.21
signature	193367	11995	1	1	1.21
jointe	193367	11995	1	1	1.21
byz	193367	11995	1	1	1.21
225	193367	11995	1	1	1.21
costerel-sur-meuse	193367	11995	1	1	1.21
guéhenno	193367	11995	1	1	1.21
conviens	193367	11995	1	1	1.21
gobineau	193367	11995	1	1	1.21
pléiades	193367	11995	1	1	1.21
libertin	193367	11995	1	1	1.21
habituée	193367	11995	1	1	1.21
admirablement	193367	11995	1	1	1.21
attrapé	193367	11995	1	1	1.21
volé	193367	11995	1	1	1.21
l'outil	193367	11995	1	1	1.21
trahis	193367	11995	1	1	1.21
poincaré	193367	11995	1	1	1.21
d'analogie	193367	11995	1	1	1.21
déductif	193367	11995	1	1	1.21
catégorique	193367	11995	1	1	1.21
adolesc	193367	11995	1	1	1.21
calembourg	193367	11995	1	1	1.21
prouverait-il	193367	11995	1	1	1.21
mordant	193367	11995	1	1	1.21
comique	193367	11995	1	1	1.21
d'emprunt	193367	11995	1	1	1.21
pétiller	193367	11995	1	1	1.21
marat	193367	11995	1	1	1.21
pamphlets	193367	11995	1	1	1.21
charlatans	193367	11995	1	1	1.21
d'indépendance	193367	11995	1	1	1.21
conciliateur	193367	11995	1	1	1.21
chicanier	193367	11995	1	1	1.21
réclama	193367	11995	1	1	1.21
réclament	193367	11995	1	1	1.21
confondait	193367	11995	1	1	1.21
comptait	193367	11995	1	1	1.21
arland	193367	11995	1	1	1.21
séduit	193367	11995	1	1	1.21
maurras	193367	11995	1	1	1.21
kiel	193367	11995	1	1	1.21
tanger	193367	11995	1	1	1.21
rosier	193367	11995	1	1	1.21
mehusson	193367	11995	1	1	1.21
